ID_ESCOLA,NO_ENTIDADE,DT_ANO_LETIVO_INICIO,CO_MUNICIPIO,TP_LOCALIZACAO,TP_DEPENDENCIA,IN_LOCAL_FUNC_UNID_PRISIONAL,IN_LOCAL_FUNC_PRISIONAL_SOCIO,IN_AGUA_FILTRADA,IN_AGUA_INEXISTENTE,IN_ENERGIA_INEXISTENTE,IN_ESGOTO_INEXISTENTE,IN_LIXO_RECICLA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_QUADRA_ESPORTES,IN_BIBLIOTECA_SALA_LEITURA,IN_BANHEIRO_DENTRO_PREDIO,IN_BANHEIRO_CHUVEIRO,IN_AREA_VERDE,IN_COMPUTADOR,IN_INTERNET,IN_ALIMENTACAO,ID_MUNICIPIO,ID_AREA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,PROFICIENCIA_LP,PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT,PROFICIENCIA_MT_SAEB
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381506,1.42801,328.658863,1.572845,337.874349
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381507,-0.594393,217.237881,0.23084,262.866566
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381508,,,,
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381509,1.186173,315.335249,0.714833,289.918061
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381510,0.65495,286.068388,-0.591119,216.925364
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381511,-0.517523,221.472908,0.000903,250.014852
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381512,1.151995,313.452268,-0.391451,228.085273
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381513,-0.306019,233.125374,0.445165,274.845689
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381514,1.131763,312.33762,0.675068,287.695503
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381515,0.044117,252.415544,-0.195619,239.03078
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381516,0.790912,293.558992,1.177626,315.78464
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381517,0.49957,277.507981,-0.995752,194.309484
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381518,0.268031,264.751719,-1.106457,188.121924
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381519,1.622127,339.353421,2.48321,388.756769
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381520,-0.279147,234.605843,0.04559,252.512512
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381521,0.166586,259.162773,-0.795604,205.496221
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381522,0.770421,292.430074,0.794342,294.362005
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381523,1.07918,309.440645,0.467964,276.119978
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381524,0.117184,256.441051,-0.401554,227.520593
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381525,0.603246,283.219841,0.655262,286.5885
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381526,0.877649,298.337625,0.597246,283.34585
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381527,0.82304,295.329031,0.086831,254.817568
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381528,,,,
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381529,,,,
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381530,0.415284,272.864382,0.391788,271.862324
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381531,0.898391,299.480371,0.293002,266.340945
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381532,-0.824396,204.566242,-0.849057,202.508609
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381533,-0.338919,231.312803,0.250595,263.970719
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381534,0.421865,273.226951,0.016866,250.907061
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381535,-0.199713,238.982129,-0.933163,197.807729
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381536,1.143964,313.009814,-0.202275,238.65876
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381537,-1.191931,184.317503,-0.076236,245.703373
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381538,1.781605,348.139601,0.877288,298.99805
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381539,-0.9937,195.238715,-0.375126,228.997716
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381540,1.166051,314.226661,0.422977,273.60555
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381541,0.382647,271.0663,-1.094439,188.793638
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381542,-0.745193,208.929802,0.558679,281.190251
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,842826,1,12,23381543,0.277946,265.29797,0.443264,274.739438
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,919960,1,12,23381464,1.185765,315.312771,0.816458,295.598119
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,919960,1,12,23381465,-0.198613,239.042732,-0.339459,230.991227
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,919960,1,12,23381466,0.028615,251.561487,-0.797785,205.37432
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,919960,1,12,23381467,1.201381,316.173109,1.375442,326.841036
26124696,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA RITA DA SILVA LESSA,02/02/2017,2611606,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2611606,1,2,1,919960,1,12,23381468,1.454901,330.140379,1.16274,314.952626
